Station Name,AMHERSTBURG,,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,42.1,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-83.09,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,182,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6130257,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Accumulated,,,,,,,,,,,,,,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,,,,,,,,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,,,,,,,,,,,,,,,,,,,
S,More than one occurrence,,,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,,,,,,,,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
01-01-2023,2023,01,01,†,0,,-8.5,,-4.3,,22.3,,0,,0,,0,,0,,0,,,,,
02-01-2023,2023,01,02,†,3,,-3,,0,,18,,0,,0,,0,,0,,0,,,,,
03-01-2023,2023,01,03,†,2.5,,-4,,-0.8,,18.8,,0,,24,,0,,24,,0,,,,,
04-01-2023,2023,01,04,†,2.5,,0,,1.3,,16.7,,0,,0,,1,,1,,0,,,,,
05-01-2023,2023,01,05,†,-10,,-13.5,,-11.8,,29.8,,0,,0,,3,,3,,1,,,,,
06-01-2023,2023,01,06,,,,,,,,,,,,,,,,,,,,,,,
07-01-2023,2023,01,07,,,,,,,,,,,,,,,,,,,,,,,
08-01-2023,2023,01,08,,,,,,,,,,,,,,,,,,,,,,,
09-01-2023,2023,01,09,†,-7,,-14,,-10.5,,28.5,,0,,0,,0,,0,,4,,,,,
10-01-2023,2023,01,10,†,-2.5,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
11-01-2023,2023,01,11,,,,,,,,,,,,,,,,,,,,,,,
12-01-2023,2023,01,12,,,,,,,,,,,,,,,,,,,,,,,
